video_id,clip_id,text,label,label_T,label_A,label_V,annotation,mode,angry,disgust,fear,happy,sad,surprise,neutral
video_0001,0001,我不想嫁给李茶,-1.0,-1.0,-1.0,-1.0,Negative,train,0.18590089678764343,0.15575742721557617,0.11469529569149017,0.037997856736183167,0.15016086399555206,0.26110944151878357,0.09437821805477142
video_0001,0002,你这是嫁入豪门啊！,1.0,1.0,0.8,1.0,Positive,train,0.1386081427335739,0.012578134424984455,0.0088888481259346,0.08854568749666214,0.0053685856983065605,0.7379092574119568,0.008101307787001133
video_0001,0003,我不想嫁入什么豪门，我们不就是豪门吗？,-1.0,-0.8,-1.0,-1.0,Negative,test,0.0519278421998024,0.052718065679073334,0.02231930010020733,0.10681848973035812,0.05008164420723915,0.24909508228302002,0.46703964471817017
video_0001,0004,有那么明显吗？,-1.0,-0.6,-1.0,-1.0,Negative,train,0.06503897905349731,0.04332301765680313,0.04174601659178734,0.06305930018424988,0.056684691458940506,0.6935930252075195,0.03655505180358887
video_0001,0005,我在这消费这么多钱，我低血糖吃块糖还不行了,-1.0,-1.0,-1.0,-1.0,Negative,train,0.192862868309021,0.04632727429270744,0.012209433130919933,0.11765769869089127,0.18798279762268066,0.36270320415496826,0.08025661110877991
video_0001,0006,够了，每次都是这一套，我不想再听了。,-1.0,-1.0,-1.0,-1.0,Negative,test,0.11056441068649292,0.5117591619491577,0.007280686404556036,0.006182934157550335,0.30879300832748413,0.0434601828455925,0.01195958536118269
video_0001,0007,我刚才信号不好，现在可以了，怎么样，妈，公司给我安排的海景别墅楼。,1.0,1.0,1.0,1.0,Positive,train,0.01342687290161848,0.006012990139424801,0.003175051650032401,0.12138361483812332,0.013902785256505013,0.8321645259857178,0.0099341357126832
video_0001,0008,我刚才是一害怕我就跟王安迪撒了个谎,-1.0,-0.8,-1.0,-1.0,Negative,train,0.06809316575527191,0.029767239466309547,0.6008352637290955,0.0013988142600283027,0.004472949542105198,0.29414844512939453,0.0012841358548030257
video_0001,0009,说到演讲啊，我不禁想起了我在我的母校。,0.4,0.4,0.0,0.4,Positive,test,0.10532356798648834,0.048895783722400665,0.09582290798425674,0.11122231930494308,0.0986216589808464,0.4554285407066345,0.08468528836965561
video_0001,0010,经理经理，别忘了我那五十万和副科长。,1.0,0.4,0.6,1.0,Positive,train,0.1452661007642746,0.07429255545139313,0.06815820187330246,0.0857098400592804,0.11423257738351822,0.4570090174674988,0.05533166974782944
video_0001,0011,友德读懂了您对我的暗示。,1.0,0.6,0.6,1.0,Positive,train,0.018374230712652206,0.017775874584913254,0.012914802879095078,0.020522093400359154,0.009349220432341099,0.9045570492744446,0.016506725922226906
video_0001,0012,这个神经病,-1.0,-1.0,-0.6,-1.0,Negative,valid,0.18376362323760986,0.4963324964046478,0.024589374661445618,0.0055266860872507095,0.035399600863456726,0.24835631251335144,0.006032031960785389
video_0001,0013,有人假扮我，我要把事情弄清楚。,0.0,-0.8,-0.2,0.6,Neutral,train,0.011098927818238735,0.0017955841030925512,0.014987258240580559,0.0068304589949548244,0.0023901164531707764,0.9580187201499939,0.004878988489508629
video_0001,0014,觉得委屈你就走呗。,-0.2,-1.0,-0.2,-0.2,Negative,train,0.03340873122215271,0.184898242354393,0.017816578969359398,0.003227956360206008,0.4503130316734314,0.28563109040260315,0.024704350158572197
